,% Dly Qt to Traded Qty,Average Price,Close Price,Date,Deliverable Qty,High Price,Last Price,Low Price,No. of Trades,Open Price,Prev Close,Series,Symbol,Total Traded Quantity,Turnover in Lacs
0,20.65,461.51,464.15,01-Jan-2009,1052166.0,466.95,465.0,450.0,-,450.0,448.1,EQ,ICICIBANK,5096416,23520.34
1,26.94,472.4,471.25,02-Jan-2009,1741027.0,479.8,472.55,462.25,-,465.0,464.15,EQ,ICICIBANK,6463217,30532.2
2,32.61,493.43,499.9,05-Jan-2009,2799476.0,504.0,500.9,474.15,-,475.5,471.25,EQ,ICICIBANK,8585791,42364.94
3,29.18,514.8,523.45,06-Jan-2009,4118177.0,530.7,526.0,480.0,-,480.0,499.9,EQ,ICICIBANK,14115209,72664.83
4,40.47,490.97,467.85,07-Jan-2009,7766090.0,538.6,462.5,454.05,-,528.0,523.45,EQ,ICICIBANK,19189173,94212.81
5,32.85,461.4,456.6,09-Jan-2009,4159269.0,483.0,445.8,441.0,-,458.7,467.85,EQ,ICICIBANK,12660721,58416.37
6,25.78,444.05,438.0,12-Jan-2009,2105949.0,463.3,442.0,428.2,-,440.0,456.6,EQ,ICICIBANK,8168155,36270.32
7,32.19,430.81,425.45,13-Jan-2009,3199159.0,448.4,428.85,418.05,-,435.0,438.0,EQ,ICICIBANK,9939485,42820.53
8,26.83,441.77,441.1,14-Jan-2009,1688516.0,451.0,443.35,428.65,-,428.65,425.45,EQ,ICICIBANK,6292884,27800.14
9,28.0,406.5,408.65,15-Jan-2009,2714651.0,429.0,410.55,398.3,-,429.0,441.1,EQ,ICICIBANK,9696693,39417.28
10,17.37,419.35,423.75,16-Jan-2009,868955.0,427.7,420.4,408.65,-,415.0,408.65,EQ,ICICIBANK,5004035,20984.38
11,28.34,414.21,412.6,19-Jan-2009,1705981.0,444.4,412.35,408.5,-,425.0,423.75,EQ,ICICIBANK,6020627,24937.82
12,28.46,396.46,396.3,20-Jan-2009,1979384.0,407.8,395.8,390.25,-,403.0,412.6,EQ,ICICIBANK,6954114,27569.94
13,33.89,376.23,369.35,21-Jan-2009,4039438.0,389.7,366.6,360.0,-,389.7,396.3,EQ,ICICIBANK,11918570,44841.31
14,21.95,374.3,378.05,22-Jan-2009,2092574.0,385.9,380.05,358.75,-,381.95,369.35,EQ,ICICIBANK,9534927,35689.56
15,15.6,373.25,363.85,23-Jan-2009,1675860.0,391.0,365.9,331.55,-,331.55,378.05,EQ,ICICIBANK,10743196,40098.53
16,19.6,372.67,381.1,27-Jan-2009,1930036.0,389.0,380.0,359.1,-,372.95,363.85,EQ,ICICIBANK,9849131,36704.95
17,35.25,395.99,408.05,28-Jan-2009,4158174.0,412.5,410.9,382.45,-,386.95,381.1,EQ,ICICIBANK,11795297,46708.12
18,29.18,417.05,410.1,29-Jan-2009,2655828.0,433.7,404.0,402.6,-,430.0,408.05,EQ,ICICIBANK,9100850,37955.01
19,22.43,406.88,416.25,30-Jan-2009,2021049.0,418.9,415.25,395.0,-,402.0,410.1,EQ,ICICIBANK,9010507,36661.8
20,24.68,395.9,385.1,02-Feb-2009,1669858.0,412.1,384.5,383.0,-,402.55,416.25,EQ,ICICIBANK,6766101,26787.19
21,13.88,392.83,392.0,03-Feb-2009,992994.0,404.7,391.0,383.1,-,390.0,385.1,EQ,ICICIBANK,7152145,28095.55
22,16.36,395.64,389.7,04-Feb-2009,1023641.0,405.25,388.0,386.3,-,395.0,392.0,EQ,ICICIBANK,6257756,24758.4
23,21.41,389.62,390.55,05-Feb-2009,1084524.0,396.55,393.0,385.05,-,390.1,389.7,EQ,ICICIBANK,5065666,19737.07
24,25.27,403.82,407.1,06-Feb-2009,1450989.0,408.85,406.35,396.0,-,399.0,390.55,EQ,ICICIBANK,5741796,23186.66
25,29.8,420.11,428.35,09-Feb-2009,2024202.0,429.8,428.0,406.35,-,406.35,407.1,EQ,ICICIBANK,6792015,28534.26
26,22.63,432.37,428.7,10-Feb-2009,1750261.0,442.0,429.5,420.2,-,428.0,428.35,EQ,ICICIBANK,7735275,33445.04
27,18.49,426.41,435.2,11-Feb-2009,1419409.0,437.9,436.9,400.6,-,420.1,428.7,EQ,ICICIBANK,7677090,32735.5
28,22.5,425.84,421.4,12-Feb-2009,1538282.0,434.4,420.5,416.7,-,433.7,435.2,EQ,ICICIBANK,6836380,29111.94
29,40.0,433.55,434.4,13-Feb-2009,2578677.0,438.4,434.2,423.05,-,423.05,421.4,EQ,ICICIBANK,6447178,27951.92
30,25.06,416.89,409.0,16-Feb-2009,1731262.0,439.9,411.9,405.95,-,433.5,434.4,EQ,ICICIBANK,6908268,28799.77
31,39.85,388.65,385.7,17-Feb-2009,4475035.0,438.8,386.9,380.2,-,438.8,409.0,EQ,ICICIBANK,11229079,43641.75
32,29.74,373.45,369.5,18-Feb-2009,3941146.0,384.8,369.7,365.0,-,383.0,385.7,EQ,ICICIBANK,13254008,49496.82
33,30.73,366.36,361.5,19-Feb-2009,3581677.0,379.7,361.5,359.25,-,367.0,369.5,EQ,ICICIBANK,11655190,42699.79
34,32.06,342.1,335.85,20-Feb-2009,4048794.0,358.65,336.0,331.0,-,356.0,361.5,EQ,ICICIBANK,12628960,43204.07
35,19.43,330.27,335.95,24-Feb-2009,3021790.0,341.9,336.9,318.4,-,325.0,335.85,EQ,ICICIBANK,15551602,51362.94
36,28.82,344.5,340.6,25-Feb-2009,3125265.0,349.9,339.8,338.4,-,341.0,335.95,EQ,ICICIBANK,10843876,37356.89
37,36.44,324.78,324.85,26-Feb-2009,6281331.0,343.4,326.0,318.6,-,332.3,340.6,EQ,ICICIBANK,17237136,55982.76
38,28.62,320.56,327.55,27-Feb-2009,5114751.0,334.0,333.0,311.05,-,324.0,324.85,EQ,ICICIBANK,17868678,57280.66
39,30.4,311.35,304.4,02-Mar-2009,3661052.0,324.7,301.0,300.0,-,324.7,327.55,EQ,ICICIBANK,12044522,37501.13
40,18.64,303.34,295.6,03-Mar-2009,4553543.0,313.2,294.1,293.3,-,295.0,304.4,EQ,ICICIBANK,24423234,74085.44
41,24.26,290.27,284.9,04-Mar-2009,6135912.0,302.8,283.25,280.1,-,298.0,295.6,EQ,ICICIBANK,25291532,73412.99
42,20.87,278.04,270.05,05-Mar-2009,5452026.0,294.75,267.0,266.1,-,287.0,284.9,EQ,ICICIBANK,26122290,72629.14
43,19.68,269.62,269.15,06-Mar-2009,9922032.0,284.9,273.45,252.3,-,263.7,270.05,EQ,ICICIBANK,50409495,135915.04
