,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,ICICIBANK,EQ,01-Jan-2013,1138.25,1146.4,1161.95,1143.1,1160.0,1158.45,1152.62,1314403,15150.07,29673,565392,43.02
1,ICICIBANK,EQ,02-Jan-2013,1158.45,1170.0,1177.0,1165.0,1174.15,1174.0,1171.65,1880945,22038.16,50801,943183,50.14
2,ICICIBANK,EQ,03-Jan-2013,1174.0,1177.05,1178.0,1165.3,1169.0,1172.05,1170.66,1642607,19229.38,50248,1053394,64.13
3,ICICIBANK,EQ,04-Jan-2013,1172.05,1172.9,1184.9,1165.05,1180.6,1182.4,1174.66,2320932,27262.96,57403,1458191,62.83
4,ICICIBANK,EQ,07-Jan-2013,1182.4,1188.0,1188.0,1177.0,1181.7,1182.15,1182.47,1760726,20820.09,56122,1074254,61.01
5,ICICIBANK,EQ,08-Jan-2013,1182.15,1179.15,1182.0,1170.25,1182.0,1179.55,1175.99,1570755,18472.0,61786,970041,61.76
6,ICICIBANK,EQ,09-Jan-2013,1179.55,1178.25,1187.9,1173.7,1181.15,1180.45,1181.27,3600021,42526.04,68674,2594286,72.06
7,ICICIBANK,EQ,10-Jan-2013,1180.45,1186.25,1188.0,1161.25,1178.5,1179.5,1172.55,2194319,25729.44,64024,1113995,50.77
8,ICICIBANK,EQ,11-Jan-2013,1179.5,1184.0,1184.4,1159.1,1160.0,1163.55,1167.71,1677704,19590.7,48991,978284,58.31
9,ICICIBANK,EQ,14-Jan-2013,1163.55,1165.0,1192.0,1165.0,1183.9,1185.15,1183.79,2708002,32057.0,98934,1934951,71.45
10,ICICIBANK,EQ,15-Jan-2013,1185.15,1183.2,1211.15,1174.1,1208.05,1204.35,1192.19,3272145,39010.12,97649,1908483,58.33
11,ICICIBANK,EQ,16-Jan-2013,1204.35,1204.35,1207.0,1176.4,1177.5,1179.85,1190.58,3287380,39138.78,85830,2399345,72.99
12,ICICIBANK,EQ,17-Jan-2013,1179.85,1177.25,1187.2,1158.2,1162.8,1162.5,1171.36,2475486,28996.95,84677,1449571,58.56
13,ICICIBANK,EQ,18-Jan-2013,1162.5,1165.5,1186.2,1165.5,1173.6,1176.2,1177.75,3387383,39894.98,89839,2289854,67.6
14,ICICIBANK,EQ,21-Jan-2013,1176.2,1180.0,1182.45,1165.0,1180.1,1177.55,1173.81,1674188,19651.72,43989,957745,57.21
15,ICICIBANK,EQ,22-Jan-2013,1177.55,1176.2,1194.85,1164.0,1167.0,1170.15,1183.88,1896923,22457.24,50751,994171,52.41
16,ICICIBANK,EQ,23-Jan-2013,1170.15,1175.0,1192.0,1161.6,1191.2,1181.0,1171.54,1424045,16683.29,36688,639148,44.88
17,ICICIBANK,EQ,24-Jan-2013,1181.0,1179.85,1186.65,1157.6,1161.95,1164.5,1171.84,2342676,27452.3,74996,1349893,57.62
18,ICICIBANK,EQ,25-Jan-2013,1164.5,1170.2,1180.0,1163.6,1174.85,1172.95,1173.88,1521748,17863.54,44946,778961,51.19
19,ICICIBANK,EQ,28-Jan-2013,1172.95,1173.6,1194.4,1172.15,1193.0,1190.25,1182.56,2868248,33918.68,59788,1823750,63.58
20,ICICIBANK,EQ,29-Jan-2013,1190.25,1195.85,1228.0,1182.0,1201.0,1201.2,1206.49,5032099,60711.8,117045,2201863,43.76
21,ICICIBANK,EQ,30-Jan-2013,1201.2,1205.0,1222.55,1203.85,1206.1,1212.7,1214.59,3078094,37386.07,67629,1756145,57.05
22,ICICIBANK,EQ,31-Jan-2013,1212.7,1207.0,1232.0,1186.3,1189.35,1191.15,1205.6,7006293,84467.88,191662,2391532,34.13
23,ICICIBANK,EQ,01-Feb-2013,1191.15,1194.0,1203.3,1167.65,1170.35,1171.15,1184.38,2515101,29788.38,82923,1124819,44.72
24,ICICIBANK,EQ,04-Feb-2013,1171.15,1184.0,1202.8,1178.0,1179.0,1181.75,1191.17,3922741,46726.35,104453,2536633,64.66
25,ICICIBANK,EQ,05-Feb-2013,1181.75,1166.0,1179.3,1162.05,1165.7,1166.05,1170.02,2256104,26396.89,66467,1318721,58.45
26,ICICIBANK,EQ,06-Feb-2013,1166.05,1173.0,1173.0,1150.8,1153.7,1155.25,1160.61,1919756,22280.89,69377,991035,51.62
27,ICICIBANK,EQ,07-Feb-2013,1155.25,1152.35,1166.95,1136.55,1145.7,1144.85,1150.72,2913000,33520.45,69530,1581139,54.28
28,ICICIBANK,EQ,08-Feb-2013,1144.85,1146.05,1149.75,1124.8,1129.85,1130.15,1137.2,2375279,27011.76,89332,1357105,57.13
29,ICICIBANK,EQ,11-Feb-2013,1130.15,1132.3,1134.35,1117.05,1123.55,1122.7,1123.02,2349300,26383.2,57950,1488787,63.37
30,ICICIBANK,EQ,12-Feb-2013,1122.7,1121.5,1134.0,1114.1,1131.0,1128.85,1126.59,2680170,30194.56,92313,1412483,52.7
31,ICICIBANK,EQ,13-Feb-2013,1128.85,1137.0,1146.4,1131.4,1143.25,1142.6,1142.06,3396769,38793.24,70473,2436716,71.74
32,ICICIBANK,EQ,14-Feb-2013,1142.6,1148.0,1149.8,1120.6,1126.0,1126.2,1135.18,2134932,24235.23,50506,1154220,54.06
33,ICICIBANK,EQ,15-Feb-2013,1126.2,1126.0,1131.0,1111.1,1119.15,1121.85,1121.13,1850774,20749.6,69405,1013488,54.76
34,ICICIBANK,EQ,18-Feb-2013,1121.85,1124.4,1130.0,1119.5,1122.6,1122.0,1124.28,1534226,17249.04,68214,974145,63.49
35,ICICIBANK,EQ,19-Feb-2013,1122.0,1123.25,1134.0,1114.6,1131.4,1131.4,1123.63,1754504,19714.08,54705,1060409,60.44
36,ICICIBANK,EQ,20-Feb-2013,1131.4,1136.0,1137.85,1118.7,1119.8,1121.55,1125.05,1531644,17231.81,48618,948142,61.9
37,ICICIBANK,EQ,21-Feb-2013,1121.55,1112.25,1114.35,1076.0,1078.6,1079.6,1090.29,3334503,36355.71,146023,1856852,55.69
38,ICICIBANK,EQ,22-Feb-2013,1079.6,1077.05,1099.0,1077.05,1095.0,1092.55,1090.57,2231954,24340.92,104750,1229396,55.08
39,ICICIBANK,EQ,25-Feb-2013,1092.55,1099.0,1101.85,1081.2,1091.95,1093.9,1093.24,2492673,27250.82,104687,1595602,64.01
40,ICICIBANK,EQ,26-Feb-2013,1093.9,1088.0,1088.85,1052.55,1066.0,1064.0,1065.69,2007909,21398.13,76047,1027841,51.19
41,ICICIBANK,EQ,27-Feb-2013,1064.0,1069.55,1088.95,1069.0,1081.2,1083.15,1080.35,2678122,28933.0,86636,1813409,67.71
42,ICICIBANK,EQ,28-Feb-2013,1083.15,1092.0,1094.8,1030.0,1048.0,1040.4,1051.7,6804123,71559.16,118669,3834101,56.35
43,ICICIBANK,EQ,01-Mar-2013,1040.4,1055.5,1067.05,1047.55,1056.9,1056.35,1056.87,3467369,36645.54,112946,2168726,62.55
